file,n_rows,first_date,last_date,n_zero_close,n_nan_close,n_negative_close,has_dissolution_event,dissolution_first_zero_date,continuous_trades,drop_reason
table (0).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (1).csv,1504,2006-11-20,2012-11-20,0,0,0,False,,True,
table (10).csv,1534,2006-11-20,2012-11-20,0,0,0,False,,True,
table (11).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (12).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (13).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (14).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (15).csv,1534,2006-11-20,2012-11-20,0,0,0,False,,True,
table (16).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (17).csv,1534,2006-11-20,2012-11-20,0,0,0,False,,True,
table (18).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (19).csv,1504,2006-11-20,2012-11-20,0,0,0,False,,True,
table (2).csv,1534,2006-11-20,2012-11-20,0,0,0,False,,True,
table (20).csv,1504,2006-11-20,2012-11-20,0,0,0,False,,True,
table (21).csv,1534,2006-11-20,2012-11-20,0,0,0,False,,True,
table (22).csv,1503,2006-11-20,2012-11-20,0,0,0,False,,True,
table (23).csv,1534,2006-11-20,2012-11-20,0,0,0,False,,True,
table (24).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (25).csv,621,2006-11-21,2012-10-15,1,0,0,False,,False,n_zero_close=1
table (26).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (27).csv,1513,2006-11-20,2012-11-20,0,0,0,False,,True,
table (28).csv,1242,2007-12-07,2012-11-20,0,0,0,False,,False,listed_mid_window first_date=2007-12-07 (bd_gap=274 > 5 from window_start)
table (29).csv,256,2011-11-07,2012-11-20,0,0,0,False,,False,listed_mid_window first_date=2011-11-07 (bd_gap=1295 > 5 from window_start)
table (3).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (30).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (31).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (32).csv,1137,2008-05-09,2012-11-20,0,0,0,False,,False,listed_mid_window first_date=2008-05-09 (bd_gap=384 > 5 from window_start)
table (33).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (34).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (35).csv,376,2011-05-19,2012-11-20,0,0,0,False,,False,listed_mid_window first_date=2011-05-19 (bd_gap=1173 > 5 from window_start)
table (36).csv,1504,2006-11-20,2012-11-20,0,0,0,False,,True,
table (37).csv,1386,2007-05-15,2012-11-20,0,0,0,False,,False,listed_mid_window first_date=2007-05-15 (bd_gap=126 > 5 from window_start)
table (38).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (39).csv,1558,2006-11-20,2012-11-20,0,0,0,False,,True,
table (4).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (40).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (41).csv,1514,2006-11-20,2012-11-20,0,0,0,False,,True,
table (42).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (43).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (44).csv,1503,2006-11-20,2012-11-20,0,0,0,False,,True,
table (45).csv,1557,2006-11-20,2012-11-20,0,0,0,False,,True,
table (46).csv,1503,2006-11-20,2012-11-20,0,0,0,False,,True,
table (47).csv,1503,2006-11-20,2012-11-20,0,0,0,False,,True,
table (48).csv,1503,2006-11-20,2012-11-20,0,0,0,False,,True,
table (49).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (5).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (50).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (51).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (52).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (53).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (54).csv,1356,2007-08-16,2012-11-20,0,0,0,False,,False,listed_mid_window first_date=2007-08-16 (bd_gap=193 > 5 from window_start)
table (55).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (56).csv,1503,2006-11-20,2012-11-20,0,0,0,False,,True,
table (57).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (58).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (59).csv,1536,2006-11-20,2012-11-20,0,0,0,False,,True,
table (6).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (60).csv,1533,2006-11-20,2012-11-20,0,0,0,False,,True,
table (61).csv,262,2011-10-28,2012-11-20,0,0,0,False,,False,listed_mid_window first_date=2011-10-28 (bd_gap=1289 > 5 from window_start)
table (62).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (63).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (64).csv,1272,2007-10-25,2012-11-20,0,0,0,False,,False,listed_mid_window first_date=2007-10-25 (bd_gap=243 > 5 from window_start)
table (65).csv,1523,2006-11-20,2012-11-20,0,0,0,False,,True,
table (66).csv,1556,2006-11-20,2012-11-20,0,0,0,False,,True,
table (67).csv,1515,2006-11-20,2012-11-20,0,0,0,False,,True,
table (68).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (69).csv,1522,2006-11-20,2012-11-20,0,0,0,False,,True,
table (7).csv,1504,2006-11-20,2012-11-20,0,0,0,False,,True,
table (70).csv,1548,2006-11-20,2012-11-20,0,0,0,False,,True,
table (71).csv,1503,2006-11-20,2012-11-20,0,0,0,False,,True,
table (72).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (73).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (74).csv,1005,2008-12-05,2012-11-20,0,0,0,False,,False,listed_mid_window first_date=2008-12-05 (bd_gap=534 > 5 from window_start)
table (75).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
table (76).csv,1521,2006-11-20,2012-11-20,0,0,0,False,,True,
