[wf-report] loading paper-window returns…
[wf-report] returns shape: (1566, 98)
[wf-report] dispatching 15 (scenario, seed) pairs over 4 workers…
[wf-report 1/15] ASMS_mHDM_K3_v2rate/seed4   23/23 periods ok  grand_mean=0.00043559  (2082.9s)
[wf-report 2/15] ASMS_mHDM_K3_v2rate/seed2   23/23 periods ok  grand_mean=0.000465264  (2211.0s)
[wf-report 3/15] ASMS_mHDM_K3_v2rate/seed3   23/23 periods ok  grand_mean=0.000480605  (2425.7s)
[wf-report 4/15] ASMS_mHDM_K3_v2rate/seed1   23/23 periods ok  grand_mean=0.000504354  (2477.7s)
[wf-report 5/15] ASMS_mHDM_K3_v2rate/seed5   23/23 periods ok  grand_mean=0.000392256  (2129.6s)
Generation 0: Population size = 20, Pareto front size = 8
Generation 10: Population size = 20, Pareto front size = 9
Generation 20: Population size = 20, Pareto front size = 8
Generation 0: Population size = 20, Pareto front size = 8
Generation 10: Population size = 20, Pareto front size = 19
Generation 20: Population size = 20, Pareto front size = 18
Generation 0: Population size = 20, Pareto front size = 6
Generation 10: Population size = 20, Pareto front size = 18
Generation 20: Population size = 20, Pareto front size = 16
Generation 0: Population size = 20, Pareto front size = 8
Generation 10: Population size = 20, Pareto front size = 14
Generation 20: Population size = 20, Pareto front size = 15
Generation 0: Population size = 20, Pareto front size = 9
Generation 10: Population size = 20, Pareto front size = 7
Generation 20: Population size = 20, Pareto front size = 9
Generation 0: Population size = 20, Pareto front size = 8
Generation 10: Population size = 20, Pareto front size = 6
Generation 20: Population size = 20, Pareto front size = 6
Generation 0: Population size = 20, Pareto front size = 11
Generation 10: Population size = 20, Pareto front size = 5
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 10
Generation 10: Population size = 20, Pareto front size = 4
Generation 20: Population size = 20, Pareto front size = 3
Generation 0: Population size = 20, Pareto front size = 8
Generation 10: Population size = 20, Pareto front size = 3
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 10
Generation 10: Population size = 20, Pareto front size = 4
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 7
Generation 10: Population size = 20, Pareto front size = 19
Generation 20: Population size = 20, Pareto front size = 19
Generation 0: Population size = 20, Pareto front size = 7
Generation 10: Population size = 20, Pareto front size = 17
Generation 20: Population size = 20, Pareto front size = 20
Generation 0: Population size = 20, Pareto front size = 4
Generation 10: Population size = 20, Pareto front size = 17
Generation 20: Population size = 20, Pareto front size = 20
Generation 0: Population size = 20, Pareto front size = 5
Generation 10: Population size = 20, Pareto front size = 11
Generation 20: Population size = 20, Pareto front size = 9
Generation 0: Population size = 20, Pareto front size = 4
Generation 10: Population size = 20, Pareto front size = 15
Generation 20: Population size = 20, Pareto front size = 17
Generation 0: Population size = 20, Pareto front size = 6
Generation 10: Population size = 20, Pareto front size = 8
Generation 20: Population size = 20, Pareto front size = 9
Generation 0: Population size = 20, Pareto front size = 7
Generation 10: Population size = 20, Pareto front size = 8
Generation 20: Population size = 20, Pareto front size = 8
Generation 0: Population size = 20, Pareto front size = 5
Generation 10: Population size = 20, Pareto front size = 6
Generation 20: Population size = 20, Pareto front size = 6
Generation 0: Population size = 20, Pareto front size = 10
Generation 10: Population size = 20, Pareto front size = 13
Generation 20: Population size = 20, Pareto front size = 13
Generation 0: Population size = 20, Pareto front size = 9
Generation 10: Population size = 20, Pareto front size = 6
Generation 20: Population size = 20, Pareto front size = 7
Generation 0: Population size = 20, Pareto front size = 6
Generation 10: Population size = 20, Pareto front size = 6
Generation 20: Population size = 20, Pareto front size = 5
Generation 0: Population size = 20, Pareto front size = 6
Generation 10: Population size = 20, Pareto front size = 5
Generation 20: Population size = 20, Pareto front size = 7
Generation 0: Population size = 20, Pareto front size = 8
Generation 10: Population size = 20, Pareto front size = 8
Generation 20: Population size = 20, Pareto front size = 6
Generation 0: Population size = 20, Pareto front size = 9
Generation 10: Population size = 20, Pareto front size = 9
Generation 20: Population size = 20, Pareto front size = 10
Generation 0: Population size = 20, Pareto front size = 10
Generation 10: Population size = 20, Pareto front size = 18
Generation 20: Population size = 20, Pareto front size = 17
Generation 0: Population size = 20, Pareto front size = 12
Generation 10: Population size = 20, Pareto front size = 16
Generation 20: Population size = 20, Pareto front size = 16
Generation 0: Population size = 20, Pareto front size = 12
Generation 10: Population size = 20, Pareto front size = 16
Generation 20: Population size = 20, Pareto front size = 19
Generation 0: Population size = 20, Pareto front size = 11
Generation 10: Population size = 20, Pareto front size = 15
Generation 20: Population size = 20, Pareto front size = 16
Generation 0: Population size = 20, Pareto front size = 11
Generation 10: Population size = 20, Pareto front size = 9
Generation 20: Population size = 20, Pareto front size = 6
Generation 0: Population size = 20, Pareto front size = 10
Generation 10: Population size = 20, Pareto front size = 9
Generation 20: Population size = 20, Pareto front size = 9
Generation 0: Population size = 20, Pareto front size = 9
Generation 10: Population size = 20, Pareto front size = 4
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 9
Generation 10: Population size = 20, Pareto front size = 4
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 9
Generation 10: Population size = 20, Pareto front size = 3
Generation 20: Population size = 20, Pareto front size = 3
Generation 0: Population size = 20, Pareto front size = 6
Generation 10: Population size = 20, Pareto front size = 6
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 4
Generation 10: Population size = 20, Pareto front size = 5
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 5
Generation 10: Population size = 20, Pareto front size = 5
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 4
Generation 10: Population size = 20, Pareto front size = 4
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 3
Generation 10: Population size = 20, Pareto front size = 4
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 4
Generation 10: Population size = 20, Pareto front size = 5
Generation 20: Population size = 20, Pareto front size = 4
Generation 0: Population size = 20, Pareto front size = 5
Generation 10: Population size = 20, Pareto front size = 17
Generation 20: Population size = 20, Pareto front size = 20
Generation 0: Population size = 20, Pareto front size = 7
Generation 10: Population size = 20, Pareto front size = 16
Generation 20: Population size = 20, Pareto front size = 19
Generation 0: Population size = 20, Pareto front size = 6
Generation 10: Population size = 20, Pareto front size = 20
Generation 20: Population size = 20, Pareto front size = 20
Generation 0: Population size = 20, Pareto front size = 9
Generation 10: Population size = 20, Pareto front size = 20
Generation 20: Population size = 20, Pareto front size = 20
Generation 0: Population size = 20, Pareto front size = 8
Generation 10: Population size = 20, Pareto front size = 20
Generation 20: Population size = 20, Pareto front size = 18
Generation 0: Population size = 20, Pareto front size = 7
