period,generation,solution_rank,lambda_h,lambda_k,lambda,tip,lambda_k_branch
0,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
0,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
1,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
