period,generation,solution_rank,lambda_h,lambda_k,lambda,tip,lambda_k_branch
0,-1,0,0.0005843791668506459,0.0,0.485,0.515,kperiod_sum
0,-1,1,0.001374219098723073,0.0,0.523,0.477,kperiod_sum
0,-1,2,0.00021035629706053215,0.0,0.491,0.509,kperiod_sum
0,-1,3,0.0010390176043184151,0.0,0.48,0.52,kperiod_sum
0,-1,4,2.5968528047926043e-06,0.0,0.501,0.499,kperiod_sum
0,-1,5,1.0387431994351992e-05,0.0,0.498,0.502,kperiod_sum
0,-1,6,4.155006038470966e-05,0.0,0.496,0.504,kperiod_sum
0,-1,7,0.0006649073794941951,0.0,0.516,0.484,kperiod_sum
0,-1,8,9.348888245812592e-05,0.0,0.506,0.494,kperiod_sum
0,-1,9,0.00016620556057125312,0.0,0.508,0.492,kperiod_sum
0,-1,10,2.5968528047926043e-06,0.0,0.501,0.499,kperiod_sum
0,-1,11,6.492235890457332e-05,0.0,0.495,0.505,kperiod_sum
0,-1,12,0.0005090493383782202,0.0,0.514,0.486,kperiod_sum
0,-1,13,6.492235890457332e-05,0.0,0.495,0.505,kperiod_sum
0,-1,14,0.0006649073794941951,0.0,0.484,0.516,kperiod_sum
0,-1,15,0.005265745667196309,0.0,0.45499999999999996,0.545,kperiod_sum
0,-1,16,0.000750634621571411,0.0,0.483,0.517,kperiod_sum
0,-1,17,0.0014963611303062674,0.0,0.476,0.524,kperiod_sum
0,-1,18,0.005744921891747201,0.0,0.45299999999999996,0.547,kperiod_sum
0,-1,19,0.0002597024224709865,0.0,0.51,0.49,kperiod_sum
1,-1,0,0.00016620556057125312,0.0,0.492,0.508,kperiod_sum
1,-1,1,0.0003739824617413068,0.0,0.488,0.512,kperiod_sum
1,-1,2,1.0387431994351992e-05,0.0,0.502,0.498,kperiod_sum
1,-1,3,0.0026609938106210373,0.0,0.46799999999999997,0.532,kperiod_sum
1,-1,4,0.0005843791668506459,0.0,0.515,0.485,kperiod_sum
1,-1,5,2.5968528047926043e-06,0.0,0.499,0.501,kperiod_sum
1,-1,6,6.492235890457332e-05,0.0,0.505,0.495,kperiod_sum
1,-1,7,0.0010390176043184151,0.0,0.52,0.48,kperiod_sum
1,-1,8,0.000750634621571411,0.0,0.517,0.483,kperiod_sum
1,-1,9,0.00043891729058905817,0.0,0.487,0.513,kperiod_sum
1,-1,10,0.00012724985962532244,0.0,0.507,0.493,kperiod_sum
1,-1,11,0.0014963611303062674,0.0,0.476,0.524,kperiod_sum
1,-1,12,6.492235890457332e-05,0.0,0.495,0.505,kperiod_sum
1,-1,13,0.0005090493383782202,0.0,0.514,0.486,kperiod_sum
1,-1,14,2.337179989442273e-05,0.0,0.497,0.503,kperiod_sum
1,-1,15,9.348888245812592e-05,0.0,0.494,0.506,kperiod_sum
1,-1,16,9.348888245812592e-05,0.0,0.494,0.506,kperiod_sum
1,-1,17,0.00031424433181174164,0.0,0.489,0.511,kperiod_sum
1,-1,18,0.00031424433181174164,0.0,0.489,0.511,kperiod_sum
1,-1,19,2.337179989442273e-05,0.0,0.503,0.497,kperiod_sum
2,-1,0,0.0010390176043184151,0.0,0.52,0.48,kperiod_sum
2,-1,1,0.0005090493383782202,0.0,0.486,0.514,kperiod_sum
2,-1,2,0.00043891729058905817,0.0,0.513,0.487,kperiod_sum
2,-1,3,0.00012724985962532244,0.0,0.493,0.507,kperiod_sum
2,-1,4,4.155006038470966e-05,0.0,0.496,0.504,kperiod_sum
2,-1,5,0.0002597024224709865,0.0,0.49,0.51,kperiod_sum
2,-1,6,0.0006649073794941951,0.0,0.484,0.516,kperiod_sum
2,-1,7,0.0037534711748357544,0.0,0.538,0.462,kperiod_sum
2,-1,8,2.5968528047926043e-06,0.0,0.499,0.501,kperiod_sum
2,-1,9,9.348888245812592e-05,0.0,0.506,0.494,kperiod_sum
2,-1,10,0.0006649073794941951,0.0,0.516,0.484,kperiod_sum
2,-1,11,0.0026609938106210373,0.0,0.46799999999999997,0.532,kperiod_sum
2,-1,12,0.001257281785971398,0.0,0.522,0.478,kperiod_sum
2,-1,13,0.00043891729058905817,0.0,0.487,0.513,kperiod_sum
2,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
2,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
2,-1,16,0.0017562633150948416,0.0,0.526,0.474,kperiod_sum
2,-1,17,9.348888245812592e-05,0.0,0.494,0.506,kperiod_sum
2,-1,18,0.00012724985962532244,0.0,0.507,0.493,kperiod_sum
2,-1,19,0.0005090493383782202,0.0,0.514,0.486,kperiod_sum
3,-1,0,4.155006038470966e-05,0.0,0.496,0.504,kperiod_sum
3,-1,1,0.0009376889841388847,0.0,0.481,0.519,kperiod_sum
3,-1,2,0.0010390176043184151,0.0,0.52,0.48,kperiod_sum
3,-1,3,0.0005843791668506459,0.0,0.485,0.515,kperiod_sum
3,-1,4,6.492235890457332e-05,0.0,0.505,0.495,kperiod_sum
3,-1,5,4.155006038470966e-05,0.0,0.504,0.496,kperiod_sum
3,-1,6,0.00016620556057125312,0.0,0.492,0.508,kperiod_sum
3,-1,7,0.00043891729058905817,0.0,0.487,0.513,kperiod_sum
3,-1,8,4.155006038470966e-05,0.0,0.496,0.504,kperiod_sum
3,-1,9,0.0020369966921688467,0.0,0.472,0.528,kperiod_sum
3,-1,10,0.00012724985962532244,0.0,0.507,0.493,kperiod_sum
3,-1,11,2.337179989442273e-05,0.0,0.503,0.497,kperiod_sum
3,-1,12,0.0010390176043184151,0.0,0.48,0.52,kperiod_sum
3,-1,13,2.337179989442273e-05,0.0,0.497,0.503,kperiod_sum
3,-1,14,2.337179989442273e-05,0.0,0.497,0.503,kperiod_sum
3,-1,15,0.004370211913641986,0.0,0.5409999999999999,0.459,kperiod_sum
3,-1,16,6.492235890457332e-05,0.0,0.495,0.505,kperiod_sum
3,-1,17,0.0009376889841388847,0.0,0.519,0.481,kperiod_sum
3,-1,18,0.0005843791668506459,0.0,0.515,0.485,kperiod_sum
3,-1,19,0.00021035629706053215,0.0,0.491,0.509,kperiod_sum
4,-1,0,0.0003739824617413068,0.0,0.488,0.512,kperiod_sum
4,-1,1,0.0005843791668506459,0.0,0.485,0.515,kperiod_sum
4,-1,2,0.0010390176043184151,0.0,0.52,0.48,kperiod_sum
4,-1,3,2.5968528047926043e-06,0.0,0.499,0.501,kperiod_sum
4,-1,4,0.0002597024224709865,0.0,0.51,0.49,kperiod_sum
4,-1,5,0.0016237088614709627,0.0,0.475,0.525,kperiod_sum
4,-1,6,0.0009376889841388847,0.0,0.481,0.519,kperiod_sum
4,-1,7,0.003004277641165154,0.0,0.46599999999999997,0.534,kperiod_sum
4,-1,8,4.155006038470966e-05,0.0,0.504,0.496,kperiod_sum
4,-1,9,6.492235890457332e-05,0.0,0.505,0.495,kperiod_sum
4,-1,10,2.337179989442273e-05,0.0,0.503,0.497,kperiod_sum
4,-1,11,4.155006038470966e-05,0.0,0.504,0.496,kperiod_sum
4,-1,12,0.003183745603611121,0.0,0.5349999999999999,0.465,kperiod_sum
4,-1,13,4.155006038470966e-05,0.0,0.496,0.504,kperiod_sum
4,-1,14,2.337179989442273e-05,0.0,0.497,0.503,kperiod_sum
4,-1,15,0.001145548253381401,0.0,0.521,0.479,kperiod_sum
4,-1,16,1.0387431994351992e-05,0.0,0.498,0.502,kperiod_sum
4,-1,17,0.0016237088614709627,0.0,0.525,0.475,kperiod_sum
4,-1,18,2.5968528047926043e-06,0.0,0.499,0.501,kperiod_sum
4,-1,19,0.005744921891747201,0.0,0.45299999999999996,0.547,kperiod_sum
5,-1,0,0.000750634621571411,0.0,0.483,0.517,kperiod_sum
5,-1,1,0.0010390176043184151,0.0,0.52,0.48,kperiod_sum
5,-1,2,2.337179989442273e-05,0.0,0.497,0.503,kperiod_sum
5,-1,3,2.5968528047926043e-06,0.0,0.501,0.499,kperiod_sum
5,-1,4,0.0016237088614709627,0.0,0.475,0.525,kperiod_sum
